AREAID,NAMECN,PROVCN
101010100,北京,北京
101020100,上海,上海
101030100,天津,天津
101040100,重庆,重庆
101050101,哈尔滨,黑龙江
101050201,齐齐哈尔,黑龙江
101050301,牡丹江,黑龙江
101050401,佳木斯,黑龙江
101050501,绥化,黑龙江
101050601,黑河,黑龙江
101050701,大兴安岭,黑龙江
101050801,伊春,黑龙江
101050901,大庆,黑龙江
101051002,七台河,黑龙江
101051101,鸡西,黑龙江
101051201,鹤岗,黑龙江
101051301,双鸭山,黑龙江
101060101,长春,吉林
101060201,吉林,吉林
101060301,延吉,吉林
101060401,四平,吉林
101060501,通化,吉林
101060601,白城,吉林
101060701,辽源,吉林
101060801,松原,吉林
101060901,白山,吉林
101070101,沈阳,辽宁
101070201,大连,辽宁
101070301,鞍山,辽宁
101070401,抚顺,辽宁
101070501,本溪,辽宁
101070601,丹东,辽宁
101070701,锦州,辽宁
101070801,营口,辽宁
101070901,阜新,辽宁
101071001,辽阳,辽宁
101071101,铁岭,辽宁
101071201,朝阳,辽宁
101071301,盘锦,辽宁
101071401,葫芦岛,辽宁
101080101,呼和浩特,内蒙古
101080201,包头,内蒙古
101080301,乌海,内蒙古
101080401,集宁,内蒙古
101080501,通辽,内蒙古
101080601,赤峰,内蒙古
101080701,鄂尔多斯,内蒙古
101080801,临河,内蒙古
101080901,锡林浩特,内蒙古
101081001,海拉尔,内蒙古
101081101,乌兰浩特,内蒙古
101081201,阿左旗,内蒙古
101090101,石家庄,河北
101090201,保定,河北
101090301,张家口,河北
101090402,承德,河北
101090501,唐山,河北
101090601,廊坊,河北
101090701,沧州,河北
101090801,衡水,河北
101090901,邢台,河北
101091001,邯郸,河北
101091101,秦皇岛,河北
101100101,太原,山西
101100201,大同,山西
101100301,阳泉,山西
101100401,晋中,山西
101100501,长治,山西
101100601,晋城,山西
101100701,临汾,山西
101100801,运城,山西
101100901,朔州,山西
101101001,忻州,山西
101101100,吕梁,山西
101110101,西安,陕西
101110200,咸阳,陕西
101110300,延安,陕西
101110401,榆林,陕西
101110501,渭南,陕西
101110601,商洛,陕西
101110701,安康,陕西
101110801,汉中,陕西
101110901,宝鸡,陕西
101111001,铜川,陕西
101111101,杨凌,陕西
101120101,济南,山东
101120201,青岛,山东
101120301,淄博,山东
101120401,德州,山东
101120501,烟台,山东
101120601,潍坊,山东
101120701,济宁,山东
101120801,泰安,山东
101120901,临沂,山东
101121001,菏泽,山东
101121101,滨州,山东
101121201,东营,山东
101121301,威海,山东
101121401,枣庄,山东
101121501,日照,山东
101121601,莱芜,山东
101121701,聊城,山东
101130101,乌鲁木齐,新疆
101130201,克拉玛依,新疆
101130301,石河子,新疆
101130401,昌吉,新疆
101130501,吐鲁番,新疆
101130601,库尔勒,新疆
101130701,阿拉尔,新疆
101130801,阿克苏,新疆
101130901,喀什,新疆
101131001,伊宁,新疆
101131101,塔城,新疆
101131201,哈密,新疆
101131301,和田,新疆
101131401,阿勒泰,新疆
101131501,阿图什,新疆
101131601,博乐,新疆
101140101,拉萨,西藏
101140201,日喀则,西藏
101140301,山南,西藏
101140401,林芝,西藏
101140501,昌都,西藏
101140601,那曲,西藏
101140701,阿里,西藏
101150101,西宁,青海
101150201,海东,青海
101150301,黄南,青海
101150401,海南,青海
101150501,果洛,青海
101150601,玉树,青海
101150701,海西,青海
101150801,海北,青海
101150901,格尔木,青海
101160101,兰州,甘肃
101160201,定西,甘肃
101160301,平凉,甘肃
101160401,庆阳,甘肃
101160501,武威,甘肃
101160601,金昌,甘肃
101160701,张掖,甘肃
101160801,酒泉,甘肃
101160901,天水,甘肃
101161001,武都,甘肃
101161101,临夏,甘肃
101161201,合作,甘肃
101161301,白银,甘肃
101161401,嘉峪关,甘肃
101170101,银川,宁夏
101170201,石嘴山,宁夏
101170301,吴忠,宁夏
101170401,固原,宁夏
101170501,中卫,宁夏
101180101,郑州,河南
101180201,安阳,河南
101180301,新乡,河南
101180401,许昌,河南
101180501,平顶山,河南
101180601,信阳,河南
101180701,南阳,河南
101180801,开封,河南
101180901,洛阳,河南
101181001,商丘,河南
101181101,焦作,河南
101181201,鹤壁,河南
101181301,濮阳,河南
101181401,周口,河南
101181501,漯河,河南
101181601,驻马店,河南
101181701,三门峡,河南
101181801,济源,河南
101190101,南京,江苏
101190201,无锡,江苏
101190301,镇江,江苏
101190401,苏州,江苏
101190501,南通,江苏
101190601,扬州,江苏
101190701,盐城,江苏
101190801,徐州,江苏
101190901,淮安,江苏
101191001,连云港,江苏
101191101,常州,江苏
101191201,泰州,江苏
101191301,宿迁,江苏
101200101,武汉,湖北
101200201,襄阳,湖北
101200301,鄂州,湖北
101200401,孝感,湖北
101200501,黄冈,湖北
101200601,黄石,湖北
101200701,咸宁,湖北
101200801,荆州,湖北
101200901,宜昌,湖北
101201001,恩施,湖北
101201101,十堰,湖北
101201201,神农架,湖北
101201301,随州,湖北
101201401,荆门,湖北
101201501,天门,湖北
101201601,仙桃,湖北
101201701,潜江,湖北
101210101,杭州,浙江
101210201,湖州,浙江
101210301,嘉兴,浙江
101210401,宁波,浙江
101210501,绍兴,浙江
101210601,台州,浙江
101210701,温州,浙江
101210801,丽水,浙江
101210901,金华,浙江
101211001,衢州,浙江
101211101,舟山,浙江
101220101,合肥,安徽
101220201,蚌埠,安徽
101220301,芜湖,安徽
101220401,淮南,安徽
101220501,马鞍山,安徽
101220601,安庆,安徽
101220701,宿州,安徽
101220801,阜阳,安徽
101220901,亳州,安徽
101221001,黄山,安徽
101221101,滁州,安徽
101221201,淮北,安徽
101221301,铜陵,安徽
101221401,宣城,安徽
101221501,六安,安徽
101221701,池州,安徽
101230101,福州,福建
101230201,厦门,福建
101230301,宁德,福建
101230401,莆田,福建
101230501,泉州,福建
101230601,漳州,福建
101230701,龙岩,福建
101230801,三明,福建
101230901,南平,福建
101240101,南昌,江西
101240201,九江,江西
101240301,上饶,江西
101240401,抚州,江西
101240501,宜春,江西
101240601,吉安,江西
101240701,赣州,江西
101240801,景德镇,江西
101240901,萍乡,江西
101241001,新余,江西
101241101,鹰潭,江西
101250101,长沙,湖南
101250201,湘潭,湖南
101250301,株洲,湖南
101250401,衡阳,湖南
101250501,郴州,湖南
101250601,常德,湖南
101250700,益阳,湖南
101250801,娄底,湖南
101250901,邵阳,湖南
101251001,岳阳,湖南
101251101,张家界,湖南
101251201,怀化,湖南
101251401,永州,湖南
101251501,吉首,湖南
101260101,贵阳,贵州
101260201,遵义,贵州
101260301,安顺,贵州
101260401,都匀,贵州
101260501,凯里,贵州
101260601,铜仁,贵州
101260701,毕节,贵州
101260801,水城,贵州
101260901,兴义,贵州
101270101,成都,四川
101270201,攀枝花,四川
101270301,自贡,四川
101270401,绵阳,四川
101270501,南充,四川
101270601,达州,四川
101270701,遂宁,四川
101270801,广安,四川
101270901,巴中,四川
101271001,泸州,四川
101271101,宜宾,四川
101271201,内江,四川
101271301,资阳,四川
101271401,乐山,四川
101271501,眉山,四川
101271601,凉山,四川
101271701,雅安,四川
101271801,甘孜,四川
101271901,阿坝,四川
101272001,德阳,四川
101272101,广元,四川
101280101,广州,广东
101280201,韶关,广东
101280301,惠州,广东
101280401,梅州,广东
101280501,汕头,广东
101280601,深圳,广东
101280701,珠海,广东
101280800,佛山,广东
101280901,肇庆,广东
101281001,湛江,广东
101281101,江门,广东
101281201,河源,广东
101281301,清远,广东
101281401,云浮,广东
101281501,潮州,广东
101281601,东莞,广东
101281701,中山,广东
101281801,阳江,广东
101281901,揭阳,广东
101282001,茂名,广东
101282101,汕尾,广东
101290101,昆明,云南
101290201,大理,云南
101290301,红河,云南
101290401,曲靖,云南
101290501,保山,云南
101290601,文山,云南
101290701,玉溪,云南
101290801,楚雄,云南
101290901,普洱,云南
101291001,昭通,云南
101291101,临沧,云南
101291201,怒江,云南
101291301,香格里拉,云南
101291401,丽江,云南
101291501,德宏,云南
101291601,景洪,云南
101300101,南宁,广西
101300201,崇左,广西
101300301,柳州,广西
101300401,来宾,广西
101300501,桂林,广西
101300601,梧州,广西
101300701,贺州,广西
101300801,贵港,广西
101300901,玉林,广西
101301001,百色,广西
101301101,钦州,广西
101301201,河池,广西
101301301,北海,广西
101301401,防城港,广西
101310101,海口,海南
101310201,三亚,海南
101310202,东方,海南
101310203,临高,海南
101310204,澄迈,海南
101310205,儋州,海南
101310206,昌江,海南
101310207,白沙,海南
101310208,琼中,海南
101310209,定安,海南
101310210,屯昌,海南
101310211,琼海,海南
101310212,文昌,海南
101310214,保亭,海南
101310215,万宁,海南
101310216,陵水,海南
101310217,西沙,海南
101310220,南沙,海南
101310221,乐东,海南
101310222,五指山,海南
101310224,中沙,海南
101320101,香港,香港
101330101,澳门,澳门
101340101,台北,台湾
101340201,高雄,台湾
101340401,台中,台湾
101310230,南子岛,海南
